"agea","gndr","eduyrs","cntry","nwspol","netusoft","netustm"
76,"Varón",15,"Austria",60,5,120
77,"Mujer",14,"Austria",180,5,210
40,"Mujer",9,"Austria",0,5,180
50,"Mujer",13,"Austria",20,5,300
73,"Mujer",15,"Austria",75,4,85
65,"Varón",12,"Austria",60,5,150
58,"Varón",17,"Austria",15,5,180
48,"Varón",14,"Austria",105,5,285
41,"Mujer",12,"Austria",30,5,120
60,"Mujer",12,"Austria",60,4,60
51,"Varón",9,"Austria",60,5,120
36,"Varón",12,"Austria",15,5,600
40,"Mujer",22,"Austria",5,5,120
57,"Mujer",12,"Austria",15,4,60
75,"Varón",12,"Austria",15,5,300
65,"Varón",20,"Austria",60,5,60
47,"Mujer",12,"Austria",0,5,180
26,"Mujer",15,"Austria",90,5,300
35,"Varón",12,"Austria",0,4,45
52,"Mujer",13,"Austria",40,5,90
28,"Mujer",11,"Austria",5,5,120
56,"Varón",14,"Austria",90,4,225
67,"Varón",12,"Austria",60,5,300
64,"Varón",12,"Austria",90,5,60
51,"Mujer",12,"Austria",20,5,210
66,"Mujer",16,"Austria",60,5,180
17,"Mujer",11,"Austria",10,5,300
18,"Varón",11,"Austria",20,5,300
52,"Varón",12,"Austria",45,5,120
76,"Mujer",11,"Austria",105,5,60
22,"Mujer",14,"Austria",30,5,210
19,"Varón",12,"Austria",90,5,720
51,"Varón",12,"Austria",10,5,180
43,"Varón",9,"Austria",90,5,240
58,"Mujer",9,"Austria",30,5,30
41,"Mujer",12,"Austria",15,5,240
47,"Varón",14,"Austria",45,5,135
52,"Mujer",12,"Austria",60,5,300
73,"Varón",11,"Austria",30,5,300
53,"Varón",13,"Austria",15,5,60
61,"Mujer",11,"Austria",60,5,30
77,"Varón",12,"Austria",10,4,60
33,"Varón",12,"Austria",0,5,180
44,"Mujer",12,"Austria",45,5,90
64,"Mujer",13,"Austria",15,5,60
56,"Mujer",12,"Austria",0,5,780
32,"Varón",12,"Austria",0,5,240
54,"Mujer",12,"Austria",3,5,120
52,"Mujer",12,"Austria",40,5,195
35,"Mujer",18,"Austria",60,5,270
69,"Varón",12,"Austria",30,4,120
34,"Mujer",11,"Austria",0,5,360
48,"Varón",40,"Austria",0,5,180
26,"Mujer",13,"Austria",30,5,180
57,"Mujer",14,"Austria",0,5,0
69,"Mujer",25,"Austria",5,5,150
66,"Varón",14,"Austria",60,5,240
82,"Varón",13,"Austria",210,5,195
60,"Mujer",12,"Austria",15,5,90
55,"Mujer",12,"Austria",45,5,60
57,"Varón",16,"Austria",120,5,180
52,"Varón",23,"Austria",25,5,420
41,"Mujer",16,"Austria",15,5,15
76,"Varón",14,"Austria",60,5,60
41,"Varón",21,"Austria",90,5,300
21,"Varón",13,"Austria",60,5,180
33,"Varón",12,"Austria",0,5,240
66,"Mujer",19,"Austria",90,5,90
33,"Mujer",16,"Austria",5,5,120
28,"Mujer",10,"Austria",0,5,480
51,"Varón",11,"Austria",90,5,300
37,"Varón",13,"Austria",30,5,240
24,"Varón",9,"Austria",60,5,180
69,"Varón",12,"Austria",40,4,70
64,"Mujer",12,"Austria",15,5,60
25,"Mujer",10,"Austria",0,5,150
74,"Mujer",4,"Austria",30,4,60
31,"Mujer",12,"Austria",15,5,60
44,"Varón",14,"Austria",60,5,45
52,"Mujer",13,"Austria",30,5,420
75,"Mujer",11,"Austria",45,4,60
20,"Varón",14,"Austria",15,5,300
36,"Mujer",14,"Austria",30,4,240
44,"Varón",13,"Austria",25,5,360
41,"Mujer",13,"Austria",20,5,240
75,"Varón",12,"Austria",90,5,45
48,"Mujer",11,"Austria",90,5,180
30,"Mujer",12,"Austria",0,5,360
24,"Mujer",18,"Austria",30,5,360
46,"Mujer",13,"Austria",30,5,90
22,"Mujer",11,"Austria",10,5,180
20,"Mujer",14,"Austria",5,5,330
23,"Varón",9,"Austria",30,5,420
24,"Mujer",12,"Austria",0,5,120
57,"Mujer",19,"Austria",45,5,165
26,"Mujer",12,"Austria",0,5,420
40,"Mujer",12,"Austria",10,5,120
28,"Mujer",18,"Austria",0,5,240
64,"Mujer",13,"Austria",15,5,90
15,"Mujer",8,"Austria",5,5,120
49,"Mujer",12,"Austria",30,5,150
30,"Mujer",12,"Austria",10,5,180
61,"Varón",11,"Austria",30,5,30
76,"Mujer",8,"Austria",30,5,60
53,"Mujer",13,"Austria",10,5,120
30,"Mujer",9,"Austria",20,5,210
76,"Mujer",12,"Austria",90,5,60
29,"Varón",12,"Austria",15,5,135
58,"Varón",13,"Austria",0,5,0
63,"Mujer",9,"Austria",0,5,90
18,"Varón",9,"Austria",10,5,120
57,"Varón",14,"Austria",75,5,135
57,"Varón",9,"Austria",120,5,300
47,"Mujer",13,"Austria",15,5,270
60,"Mujer",10,"Austria",20,5,60
67,"Varón",14,"Austria",90,5,150
72,"Varón",14,"Austria",120,5,240
42,"Mujer",12,"Austria",10,5,180
54,"Varón",25,"Austria",45,5,300
